GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
line-autocompletor,io.github.dmv04,Autocompletor,3,141,0,12,1,27,1,7,1,1
line-autocompletor,io.github.dmv04.util,MapSorter,3,24,0,0,1,7,1,2,1,2
